username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Gloss80;2016-05-05 07:07;7;8;"Londoners the time has come! Let's vote for hope over fear and unity over division! I've already voted by post for @SadiqKhan #ReadyForKhan";;@SadiqKhan;#ReadyForKhan;"727998110904029185";https://twitter.com/Gloss80/status/727998110904029185
CllrUsmanAhmed;2016-05-05 07:59;0;0;"To all those Londoners wanting a mayor for all who stand up for them now's the time to come home, come home to Labour and vote @SadiqKhan";;@SadiqKhan;;"728011293651812352";https://twitter.com/CllrUsmanAhmed/status/728011293651812352
abbeylinegold;2016-05-05 07:59;0;2;"@SadiqKhan This is a scurrilous accusation levelled at you by the cretin @georgegalloway https:// twitter.com/georgegalloway /status/727983569709219841 …";;@SadiqKhan @georgegalloway;;"728011239931138052";https://twitter.com/abbeylinegold/status/728011239931138052
Glenndalmas;2016-05-05 07:59;0;0;"@SadiqKhan @JohnEdwards33 @eddieizzard @missmcollins @JessieWare @richardosman @OwenJones84 @ChukaUmunna @fionatwycross deluded not a chance";;@SadiqKhan @JohnEdwards33 @eddieizzard @missmcollins @JessieWare @richardosman @OwenJones84 @ChukaUmunna @fionatwycross;;"728011118774501376";https://twitter.com/Glenndalmas/status/728011118774501376
Pak_reuters;2016-05-05 07:59;0;0;"Sadiq Khan nears winning London mayoral polls http:// bit.ly/1rVTa1b | etribune, Business";;;;"728011106665435136";https://twitter.com/Pak_reuters/status/728011106665435136
R_A_1N_B0W_DAHS;2016-05-05 07:59;1;0;"@Ed_Miliband @SadiqKhan LOL ED";;@Ed_Miliband @SadiqKhan;;"728011078957961216";https://twitter.com/R_A_1N_B0W_DAHS/status/728011078957961216
joglasg;2016-05-05 07:58;0;0;"@KateProctorYP 2. Re Sadiq Khan - it's important to be balanced and remind your readers that Gani is actually a Conservative supporter?";;@KateProctorYP;;"728010959151828992";https://twitter.com/joglasg/status/728010959151828992
PeterDavidKirby;2016-05-05 07:58;0;1;"@cina___ @UKLabour @SadiqKhan @jeremycorbyn I wish i got a vote as id be voting Sadiq as well! Unfortunately i live 30 miles too north...";;@cina___ @UKLabour @SadiqKhan @jeremycorbyn;;"728010923693223937";https://twitter.com/PeterDavidKirby/status/728010923693223937
SarahJaneMorri3;2016-05-05 07:58;0;0;"Electing Sadiq Khan as mayor of London would be the terrorists’ worst nightmare | Yasmin... http:// fb.me/7qGMwAQ5q";;;;"728010832584511488";https://twitter.com/SarahJaneMorri3/status/728010832584511488
GrumpyPete;2016-05-05 07:57;0;0;"@johnprescott @bryanadams @SadiqKhan and I thought you were against extremists";;@johnprescott @bryanadams @SadiqKhan;;"728010777399988224";https://twitter.com/GrumpyPete/status/728010777399988224
RobertMHill;2016-05-05 07:56;0;1;"And the very best of luck to @SadiqKhan & @FloEshalomi and not forgetting @labour in the London elections.";;@SadiqKhan @FloEshalomi @labour;;"728010564723736576";https://twitter.com/RobertMHill/status/728010564723736576
MichaelRogerz;2016-05-05 07:56;1;0;"@sadiqkhan Good luck Sadiq. Your campaign has been well planned. Not a Labour man or Londoner but you seem right for the job. Good luck.";;@sadiqkhan;;"728010357285982208";https://twitter.com/MichaelRogerz/status/728010357285982208
UJReview;2016-05-05 07:56;0;0;"Sadiq Khan : Sorry for calling #moderateMuslims #UncleToms http:// ujreview.com/?p=59217";;;#moderateMuslims #UncleToms;"728010349975212032";https://twitter.com/UJReview/status/728010349975212032
