username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BogusSemantics;2016-05-05 07:59;0;0;"Look bored shitless - All from Central Casting I reckon - @Zac_Goldsmith https:// twitter.com/ChrisVinante/s tatus/724659242272206848 …";;@Zac_Goldsmith;;"728011306314412036";https://twitter.com/BogusSemantics/status/728011306314412036
_Ginnungagap;2016-05-05 07:59;0;1;"@SirThundertwat @str33tspirit @bryanadams @LouiseMensch @ZacGoldsmith You don't live in 1930s Germany you know...";;@SirThundertwat @str33tspirit @bryanadams @LouiseMensch @ZacGoldsmith;;"728011250567946240";https://twitter.com/_Ginnungagap/status/728011250567946240
thegreatkellino;2016-05-05 07:56;0;0;"Ken Livingstone, Zac Goldsmith . Sad! http:// fb.me/7hYR273Tz";;;;"728010561548656640";https://twitter.com/thegreatkellino/status/728010561548656640
screaminkid;2016-05-05 07:56;0;0;"Tories always plumb new depths of scumbaggery&depravity! Busy wiping out Labour 's electorate numbers4 2020! @Markfergusonuk @ZacGoldsmith";;@Markfergusonuk @ZacGoldsmith;;"728010524416315393";https://twitter.com/screaminkid/status/728010524416315393
BogusSemantics;2016-05-05 07:55;0;0;"RT @LondonEvening RT @ZacGoldsmith Brilliant! https:// twitter.com/WillBlackWrite r/status/727904250941067264 …";;@LondonEvening @ZacGoldsmith;;"728010295877226496";https://twitter.com/BogusSemantics/status/728010295877226496
Hephaestus7;2016-05-05 07:55;0;0;"Zac Goldsmith : the Time Out interview http://www. timeout.com/london/blog/za c-goldsmith-the-time-out-interview-050416 …";;;;"728010222820839424";https://twitter.com/Hephaestus7/status/728010222820839424
royalman2016;2016-05-05 07:54;0;0;"Vote for the right to the new mayor of London zac goldsmith";;;;"728010059125542912";https://twitter.com/royalman2016/status/728010059125542912
harrisandco_nw6;2016-05-05 07:54;0;0;"Who is Zac Goldsmith , what is his manifesto and should I vote for him in the London Mayoral Election?: He als... http:// binged.it/1NXAdEI";;;;"728010031262662656";https://twitter.com/harrisandco_nw6/status/728010031262662656
reflexionismo;2016-05-05 07:48;0;0;"@spectator @afneil Whoever approved this article must be as embarrassed as @ZacGoldsmith pic.twitter.com/HaV4oA5IP9";;@spectator @afneil @ZacGoldsmith;;"728008545912893440";https://twitter.com/reflexionismo/status/728008545912893440
NormyHolder;2016-05-05 07:48;0;0;"“I am surprised and disappointed. Zac Goldsmith is somebody I always assumed was a sort of liberal Tory..He is diminished in my view.”";;;;"728008410030084096";https://twitter.com/NormyHolder/status/728008410030084096
hazmacca;2016-05-05 07:48;0;1;"Please don't vote for @ZacGoldsmith tomorrow. It's really important. The politics of smear, fear and general cuntary can't win X";;@ZacGoldsmith;;"728008359157313536";https://twitter.com/hazmacca/status/728008359157313536
Sod_pot;2016-05-05 07:47;0;0;"RT @OwenJones84 : As @ZacGoldsmith sinks further into the gutter, please share my video exposing his vile campaign: https://www. youtube.com/watch?v=2KBpBk kbpjs&feature=youtu.be&list=PLTYmWuFco1_1xD06DoY0BRnOX8mwBv0Vb …";;@OwenJones84 @ZacGoldsmith;;"728008120308486144";https://twitter.com/Sod_pot/status/728008120308486144
JamesDyer13;2016-05-05 07:45;1;1;"@Redpeter99 @PSW101 That disgusting image makes me want to vote for @ZacGoldsmith , but maybe I could cook 1 really HOT sausage, you slag!";;@Redpeter99 @PSW101 @ZacGoldsmith;;"728007727402893312";https://twitter.com/JamesDyer13/status/728007727402893312
RodMorrison12;2016-05-05 07:45;0;0;"@ZacGoldsmith I'm surprised you haven't tried to claim that black cabs are terrorist sympathisers. #BackZacAndCrack";;@ZacGoldsmith;#BackZacAndCrack;"728007716870991873";https://twitter.com/RodMorrison12/status/728007716870991873
IamThePOND;2016-05-05 07:45;0;0;"@ZacGoldsmith Also most people are moderates who don't swing that far right or left so would like a non Tory Mayor for balance.";;@ZacGoldsmith;;"728007673975848961";https://twitter.com/IamThePOND/status/728007673975848961
